strain	date	url	mutational_fitness	epiweek	recency	pango_lineage	country	region	division	emerging_lineage	host	genbank_accession	S1_mutations	clade_membership	current_frequency	author	accession	submitting_lab	originating_lab	logistic_growth
USA/MD-CDC-ASC210003728/2021	3/11/21		0.44	202110	Older	B.1.1.7	USA	North America	Maryland		Homo sapiens	MZ256061	7	"20I (Alpha, V1)"		Howard et al B				
USA/WA-CDC-LC0056226/2021	4/18/21		0.43	202116	Older	B.1.1.7	USA	North America	Washington		Homo sapiens	MZ181679	7	"20I (Alpha, V1)"		Howard et al C				
USA/RI-CDCBI-CRSP_02755/2021	4/15/21		0.37	202115	Older	B.1.1.7	USA	North America	Rhode Island		Homo sapiens	MZ101474	7	"20I (Alpha, V1)"		Lemieux et al A		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/NJ-CDC-LC0066666/2021	5/21/21		0.37	202120	Older	B.1.1.7	USA	North America	New Jersey		Homo sapiens	MZ371918	6	"20I (Alpha, V1)"		Howard et al D				
USA/MI-CDC-QDX24633083/2021	5/4/21		0.44	202118	Older	B.1.1.7	USA	North America	Michigan		Homo sapiens	MZ288560	6	"20I (Alpha, V1)"		Howard et al E				
USA/FL-CDC-QDX23892633/2021	4/13/21		0.4	202115	Older	B.1.1.7	USA	North America	Florida		Homo sapiens	MZ073809	6	"20I (Alpha, V1)"		Howard et al F				
USA/FL-BPHL-1295/2021	1/29/21		0.41	202104	Older	B.1.1.7	USA	North America	Florida		Homo sapiens	MW735549	6	"20I (Alpha, V1)"		Schmedes et al A		FLDOH	Florida Bureau of Public Health Laboratories	
USA/IA-CDC-STM-000023171/2021	2/24/21		0.41	202108	Older	B.1.1.7	USA	North America	Iowa		Homo sapiens	MW808212	6	"20I (Alpha, V1)"		Cook et al A				
USA/NYI-NA-21-184/2021	5/8/21		0.41	202118	Older	B.1.1.7	USA	North America	New York		Homo sapiens	MZ448832	6	"20I (Alpha, V1)"		Mitchell et al A				
USA/UT-UPHL-210812656259/2021	3/10/21		0.41	202110	Older	B.1.1.7	USA	North America	Utah		Homo sapiens	MZ842932	6	"20I (Alpha, V1)"		Linares et al		Utah Public Health Laboratory Infectious Disease submission group	Utah Public Health Laboratory	
USA/NC-CDC-STM-000069573/2021	5/5/21		0.35	202118	Older	B.1.1.7	USA	North America	North Carolina		Homo sapiens	MZ290584	7	"20I (Alpha, V1)"		Howard et al G				
USA/LA-CDC-STM-000033024/2021	3/9/21		0.41	202110	Older	B.1.1.7	USA	North America	Louisiana		Homo sapiens	MW964057	6	"20I (Alpha, V1)"		Howard et al H				
USA/FL-CDC-STM-000704227/2021	6/19/21		0.41	202124	Older	B.1.1.7	USA	North America	Florida		Homo sapiens	OL522376	6	"20I (Alpha, V1)"		Howard et al I		CDC-OAMD	'Helix'	
USA/TX-CDC-QDX23916720/2021	4/14/21		0.41	202115	Older	B.1.1.7	USA	North America	Texas		Homo sapiens	MZ090230	6	"20I (Alpha, V1)"		Howard et al J				
USA/WA-CDC-UW21052413641/2021	5/24/21		0.45	202121	Older	Q.3	USA	North America	Washington		Homo sapiens	MZ385942	7	"20I (Alpha, V1)"		Howard et al K		CDC-OAMD	UW Virology Lab	
USA/MI-MDHHS-SC23430/2021	2/9/21		0.38	202106	Older	B.1.1.7	USA	North America	Michigan		Homo sapiens	OL849136	6	"20I (Alpha, V1)"		Blankenship et al A				
USA/SD-SDPHL-0380/2021	5/13/21		0.4	202119	Older	B.1.1.7	USA	North America	South Dakota		Homo sapiens	MZ444206	7	"20I (Alpha, V1)"		Carlson et al A		South Dakota Department of Health	South Dakota Public Health Laboratory	
USA/1715882/2021	6/1/21		0.43	202122	Older	B.1.1.7	USA	North America	Iowa		Homo sapiens	ON186475	7	"20I (Alpha, V1)"		Reeb et al A		State Hygienic Laboratory at the University of Iowa	Test Iowa	
USA/MN-CDC-ASC210053811/2021	4/8/21		0.41	202114	Older	B.1.1.7	USA	North America	Minnesota		Homo sapiens	MZ084940	7	"20I (Alpha, V1)"		Howard et al L				
USA/HI-CDC-LC0073774/2021	6/13/21		0.48	202124	Older	B.1.1.7	USA	North America	Hawaii		Homo sapiens	OK231825	6	"20I (Alpha, V1)"		Howard et al M				
USA/NJ-CDC-ASC210108476/2021	6/9/21		0.46	202123	Older	B.1.1.7	USA	North America	New Jersey		Homo sapiens	OK291715	6	"20I (Alpha, V1)"		Howard et al N				
USA/NJ-CDC-LC0066286/2021	5/26/21		0.42	202121	Older	B.1.1.7	USA	North America	New Jersey		Homo sapiens	MZ371780	6	"20I (Alpha, V1)"		Howard et al O				
USA/LA-CDC-2-4651561/2021	7/13/21		0.47	202128	Older	B.1.1.7	USA	North America	Louisiana		Homo sapiens	MZ709055	7	"20I (Alpha, V1)"		Sheth et al A				
USA/WI-CDC-FG-024742/2021	4/7/21		0.46	202114	Older	B.1.1.7	USA	North America	Wisconsin		Homo sapiens	MZ182640	8	"20I (Alpha, V1)"		Howard et al P				
USA/KS-CDC-ASC210031318/2021	4/23/21		0.46	202116	Older	B.1.1.7	USA	North America	Kansas		Homo sapiens	MZ283973	8	"20I (Alpha, V1)"		Howard et al Q				
USA/MP-CDC-2-4392999/2021	4/29/21		0.43	202117	Older	B.1.1.7	USA	North America	Northern Mariana Islands		Homo sapiens	MZ331023	6	"20I (Alpha, V1)"		Sheth et al B				
USA/CA-CDC-FG-020173/2021	4/7/21		0.48	202114	Older	B.1.1.7	USA	North America	California		Homo sapiens	MW992510	6	"20I (Alpha, V1)"		Howard et al R				
USA/CO-CDC-MMB09379877/2021	7/14/21		0.44	202128	Older	B.1.1.7	USA	North America	Colorado		Homo sapiens	MZ809650	6	"20I (Alpha, V1)"		Howard et al S		CDC-OAMD	Mako Medical	
USA/PA-CDC-STM-000058865/2021	4/16/21		0.44	202115	Older	B.1.1.7	USA	North America	Pennsylvania		Homo sapiens	MZ132307	6	"20I (Alpha, V1)"		Howard et al T				
USA/PA-CDC-LC0066727/2021	5/24/21		0.44	202121	Older	B.1.1.7	USA	North America	Pennsylvania		Homo sapiens	MZ372012	6	"20I (Alpha, V1)"		Howard et al U				
USA/AR-CDC-QDX26400584/2021	6/29/21		0.41	202126	Older	B.1.1.7	USA	North America	Arkansas		Homo sapiens	MZ590861	6	"20I (Alpha, V1)"		Howard et al V		CDC-OAMD	Quest Diagnostics Incorporated	
PRI/PR-UPRRP-2460/2021	4/5/21		0.42	202114	Older	B.1.1.7	USA	North America	Puerto Rico		Homo sapiens	OK203756	7	"20I (Alpha, V1)"		Van Belleghem et al A				
USA/VA-CDC-LC0058220/2021	5/6/21		0.45	202118	Older	B.1.1.7	USA	North America	Virginia		Homo sapiens	MZ253581	6	"20I (Alpha, V1)"		Howard et al W				
USA/MD-CDC-ASC210108280/2021	6/8/21		0.42	202123	Older	B.1.1.7	USA	North America	Maryland		Homo sapiens	MZ450329	6	"20I (Alpha, V1)"		Howard et al X				
USA/NYI-1343-21-1/2021	3/24/21		0.43	202112	Older	B.1.1.7	USA	North America	New York		Homo sapiens	MZ451581	6	"20I (Alpha, V1)"		Mitchell et al B				
USA/WA-CDC-LC0034717/2021	3/22/21		0.44	202112	Older	B.1.1.7	USA	North America	Washington		Homo sapiens	MW914346	6	"20I (Alpha, V1)"		Howard et al Y				
USA/OK-CDC-ASC210031563/2021	4/23/21		0.42	202116	Older	B.1.1.7	USA	North America	Oklahoma		Homo sapiens	MZ284510	6	"20I (Alpha, V1)"		Howard et al Z				
USA/NE-CDC-ASC210064873/2021	5/15/21		0.43	202119	Older	B.1.1.7	USA	North America	Nebraska		Homo sapiens	OK292905	6	"20I (Alpha, V1)"		Howard et al AA				
USA/NV-CDC-LC0043879/2021	4/9/21		0.44	202114	Older	B.1.1.7	USA	North America	Nevada		Homo sapiens	MZ039471	6	"20I (Alpha, V1)"		Howard et al AB				
USA/HI-CDC-LC0045000/2021	4/16/21		0.43	202115	Older	B.1.1.7	USA	North America	Hawaii		Homo sapiens	MZ069738	6	"20I (Alpha, V1)"		Howard et al AC				
USA/ME-CDC-QDX26032805/2021	6/15/21		0.44	202124	Older	B.1.1.7	USA	North America	Maine		Homo sapiens	OK252863	7	"20I (Alpha, V1)"		Howard et al AD				
USA/MI-CDC-ASC210064755/2021	5/18/21		0.51	202120	Older	B.1.1.7	USA	North America	Michigan		Homo sapiens	MZ294784	6	"20I (Alpha, V1)"		Howard et al AE				
USA/RI-CDC-2-4331764/2021	4/24/21		0.43	202116	Older	B.1.1.7	USA	North America	Rhode Island		Homo sapiens	MZ206201	6	"20I (Alpha, V1)"		Sheth et al C				
USA/MA-CDCBI-CRSP_4D7WUXO5MAAEGIQU/2021	5/25/21		0.43	202121	Older	B.1.1.7	USA	North America	Massachusetts		Homo sapiens	MZ472148	6	"20I (Alpha, V1)"		Lemieux et al B		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/ME-CDC-4056514-001/2021	3/16/21		0.46	202111	Older	B.1.1.7	USA	North America	Maine		Homo sapiens	MW945262	7	"20I (Alpha, V1)"		Li et al R				
USA/VA-CDC-LC0022891/2021	2/28/21		0.45	202109	Older	B.1.1.7	USA	North America	Virginia		Homo sapiens	MW844769	6	"20I (Alpha, V1)"		Cook et al B				
USA/AR-UNM-2110200000377/2021	4/12/21		0.46	202115	Older	B.1.1.7	USA	North America	Arkansas		Homo sapiens	OM461724	7	"20I (Alpha, V1)"		Domman et al A		University of New Mexico Health Sciences	Arkansas Department of Health	
USA/WA-CDC-UW21062222950/2021	6/22/21		0.54	202125	Older	B.1.1.7	USA	North America	Washington		Homo sapiens	MZ532411	8	"20I (Alpha, V1)"		Howard et al AF		CDC-OAMD	UW Virology Lab	
USA/GA-CDC-STM-000068405/2021	5/1/21		0.45	202117	Older	B.1.1.7	USA	North America	Georgia		Homo sapiens	MZ279060	6	"20I (Alpha, V1)"		Howard et al AG				
USA/MP-CDC-2-4122711/2021	3/22/21		0.45	202112	Older	B.1.1.7	USA	North America	Northern Mariana Islands		Homo sapiens	MZ780117	6	"20I (Alpha, V1)"		Sheth et al D				
USA/AR-UNM-ADH2112700000032/2021	5/7/21		0.51	202118	Older	P.1	USA	North America	Arkansas		Homo sapiens	OM461976	10	"20J (Gamma, V3)"		Domman et al B		University of New Mexico Health Sciences	Arkansas Department of Health	
USA/PA-CDC-ASC210059352/2021	5/5/21		0.49	202118	Older	P.1.13	USA	North America	Pennsylvania		Homo sapiens	MZ281316	10	"20J (Gamma, V3)"		Howard et al AH				
USA/MD-MDH-2535/2021	5/18/21		0.45	202120	Older	P.1	USA	North America	Maryland		Homo sapiens	MZ393520	10	"20J (Gamma, V3)"		Keller et al B				
USA/IL-CDC-QDX26076102/2021	6/17/21		0.48	202124	Older	P.1	USA	North America	Illinois		Homo sapiens	MZ536442	11	"20J (Gamma, V3)"		Howard et al AI		CDC-OAMD	Quest Diagnostics Incorporated	
USA/AR-UAMS002/2020	4/1/20		0.02	202014	Older	B.1.1	USA	North America	Arkansas		Homo sapiens	MT766908	1	20B		Jenjaroenpun et al A				
USA/WA-S1955/2020	6/2/20		0.02	202023	Older	B.1.1.291	USA	North America	Washington		Homo sapiens	MT831434	1	20B		Nickerson et al A		Seattle Flu Study submission group	Washington State Department of Health	
USA/WA-S2926/2020	8/25/20		0.02	202035	Older	B.1.1.291	USA	North America	Washington		Homo sapiens	MW474107	1	20B		Nickerson et al B		Seattle Flu Study submission group	Washington State Department of Health	
USA/JW0326/2021	2/22/21		0.05	202108	Older	B.1.1.222	USA	North America	North Carolina		Homo sapiens	MZ619428	2	20B		Wang et al A				
USA/MD-CDC-LC0020407/2021	2/23/21		0.24	202108	Older	R.1	USA	North America	Maryland		Homo sapiens	MW985707	3	20B		Howard et al AJ				
USA/CUIMC-NP-3381/2020	11/9/20		-0.02	202046	Older	B.1.1.461	USA	North America	New York		Homo sapiens	MZ680800	2	20B		Annavajhala et al A				
USA/AK-PHL473/2020	6/11/20		0.03	202024	Older	B.1.1	USA	North America	Alaska		Homo sapiens	MW079834	1	20B		DeRonde et al A				
USA/VT-CDC-2-4044718/2020	11/29/20		0.04	202049	Older	B.1.1.159	USA	North America	Vermont		Homo sapiens	MW550589	1	20B		Queen et al B				
USA/IL-UW-857/2020	7/8/20		0.02	202028	Older	B.1.1.464	USA	North America	Illinois		Homo sapiens	MT846547	1	20B		Moreno et al C				
USA/CO-QDX-3407/2020	10/30/20		0.07	202044	Older	B.1.1.222	USA	North America	Colorado		Homo sapiens	MW522384	1	20B		Rosenthal et al D				
USA/NE-CDC-LC0004304/2021	1/4/21		0.11	202101	Older	B.1.1.222	USA	North America	Nebraska		Homo sapiens	MW638586	1	20B		Cook et al C				
USA/PR-CDC-LC0006445/2021	1/18/21		0.04	202103	Older	B.1.1.434	USA	North America	Puerto Rico		Homo sapiens	MW636593	1	20B		Cook et al D				
USA/SD-UW-859/2020	7/9/20		0.02	202028	Older	B.1.1.228	USA	North America	South Dakota		Homo sapiens	MT846549	1	20B		Moreno et al D				
USA/WA-S2744/2020	7/17/20		0.02	202029	Older	B.1.1.228	USA	North America	Washington		Homo sapiens	MT947560	1	20B		Nickerson et al C		Seattle Flu Study submission group	Seattle Flu Study	
USA/TX-QDX-3503/2020	9/13/20		0.01	202038	Older	B.1.1	USA	North America	Texas		Homo sapiens	MW521803	1	20B		Rosenthal et al E				
USA/MD-MDH-2677/2021	1/5/21		0.1	202101	Older	B.1.1.25	USA	North America	Maryland		Homo sapiens	MZ438622	2	20B		Keller et al C				
USA/OR-CDC-LC0091072/2021	6/14/21		0.45	202124	Older	B.1.1.318	USA	North America	Oregon		Homo sapiens	OK231923	5	20B		Howard et al AK				
USA/LA-BIE-LSUH000773/2020	8/23/20		0.02	202035	Older	B.1.1.268	USA	North America	Louisiana		Homo sapiens	MZ457477	1	20B		Crabtree et al				
USA/OH-CDC-2-3693592/2020	10/30/20		0.08	202044	Older	B.1.1.265	USA	North America	Ohio		Homo sapiens	MW406579	2	20B		Queen et al C				
USA/WV120496/2021	3/12/21		0.16	202110	Older	B.1.1.420	USA	North America	West Virginia		Homo sapiens	MZ499926	3	20B		Denvir et al A				
USA/NC-QDX-4454/2020	8/19/20		-0.01	202034	Older	B.1.1.135	USA	North America	North Carolina		Homo sapiens	MW566533	2	20B		Rosenthal et al F				
USA/MT-BHDH-5296/2020	8/4/20		0.02	202032	Older	B.1.1	USA	North America	Montana		Homo sapiens	MW861384	1	20B		Nemudryi et al				
USA/SD-CDC-IBX299544129180/2021	3/16/21		0.28	202111	Older	B.1.1.519	USA	North America	South Dakota		Homo sapiens	MZ010077	3	20B		Howard et al AL				
USA/WV-CDC-LC0034933/2021	3/17/21		0.27	202111	Older	B.1.1.519	USA	North America	West Virginia		Homo sapiens	MW903701	3	20B		Howard et al AM				
USA/KY-CDC-ASC210012858/2021	3/20/21		0.31	202111	Older	B.1.1.519	USA	North America	Kentucky		Homo sapiens	MW891942	4	20B		Howard et al AN				
USA/NV-CDC-LC0039198/2021	3/29/21		0.26	202113	Older	B.1.1.519	USA	North America	Nevada		Homo sapiens	MZ003167	3	20B		Howard et al AO				
USA/FL-CDC-STM-000024551/2021	2/24/21		0.26	202108	Older	B.1.1.519	USA	North America	Florida		Homo sapiens	MW758574	4	20B		Cook et al E				
USA/1626106/2021	3/15/21		0.25	202111	Older	B.1.1.519	USA	North America	Iowa		Homo sapiens	ON062734	4	20B		Reeb et al B		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	
USA/OH-CDC-LC0009275/2021	1/23/21		0.24	202103	Older	B.1.1.519	USA	North America	Ohio		Homo sapiens	MW640387	4	20B		Cook et al F				
USA/AK-PHL7861/2021	4/1/21		0.31	202113	Older	B.1.1.519	USA	North America	Alaska		Homo sapiens	MZ202141	4	20B		DeRonde et al B				
USA/AK-PHL7816/2021	3/31/21		0.27	202113	Older	B.1.1.519	USA	North America	Alaska		Homo sapiens	MZ199182	4	20B		DeRonde et al C				
USA/AK-PHL7744/2021	3/25/21		0.27	202112	Older	B.1.1.519	USA	North America	Alaska		Homo sapiens	MZ246401	3	20B		DeRonde et al D				
USA/AK-CDC-2-4504158/2021	5/16/21		0.26	202120	Older	B.1.1.519	USA	North America	Alaska		Homo sapiens	MZ451698	4	20B		Sheth et al E				
USA/OK-CDC-QDX35823847/2022	4/11/22		1.35	202215	One month ago	BA.2	USA	North America	Oklahoma		Homo sapiens	ON336988	25	21L (Omicron)	0.02	Howard et al AP		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/AK-CDC-LC0582158/2022	4/12/22		1.33	202215	One week ago	BA.2.3	USA	North America	Alaska	BA.2.3	Homo sapiens	ON372707	25	21L (Omicron)	0.03	Howard et al AQ		CDC-OAMD	Laboratory Corporation of America	6.36
USA/WA-CDC-LC0537615/2022	2/10/22		1.34	202206	Older	BA.2.3	USA	North America	Washington	BA.2.3	Homo sapiens	OM789632	25	21L (Omicron)		Howard et al AR		CDC-OAMD	Laboratory Corporation of America	
USA/GU-CDC-2-5776857/2022	2/14/22		1.37	202207	One month ago	BA.2.3	USA	North America	Guam	BA.2.3	Homo sapiens	ON333339	25	21L (Omicron)		Sheth et al F		CDC DVD Genomics and DIscovery Team	Guam Public Health Laboratory	
USA/GU-CDC-2-5877388/2022	3/7/22		1.38	202210	One week ago	BA.2.3	USA	North America	Guam	BA.2.3	Homo sapiens	ON384081	25	21L (Omicron)	0	Sheth et al G		CDC DVD Genomics and DIscovery Team	Guam Public Health Laboratory	6.36
USA/MP-CDC-2-5807126/2022	1/27/22		1.31	202204	One month ago	BA.2.3	USA	North America	Northern Mariana Islands	BA.2.3	Homo sapiens	ON260232	25	21L (Omicron)		Sheth et al H		CDC DVD Genomics and DIscovery Team	Commonwealth Healthcare Center	
USA/MP-CDC-2-5903680/2022	3/11/22		1.31	202210	One week ago	BA.2.3	USA	North America	Northern Mariana Islands	BA.2.3	Homo sapiens	ON402580	25	21L (Omicron)	0	Sheth et al I		CDC DVD Genomics and DIscovery Team	Commonwealth Healthcare Center	6.36
USA/2086735/2022	4/21/22		1.37	202216	One week ago	BA.2.3	USA	North America	Iowa	BA.2.3	Homo sapiens	ON398904	25	21L (Omicron)	0.07	Reeb et al C		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	6.36
USA/WA-CDC-ASC210823217/2022	2/21/22		1.35	202208	Older	BA.2.3	USA	North America	Washington	BA.2.3	Homo sapiens	OM911119	24	21L (Omicron)		Howard et al AS		CDC-OAMD	Aegis Sciences Corporation	
USA/OR-CDC-LC0582062/2022	4/15/22		1.37	202215	One week ago	BA.2.3	USA	North America	Oregon	BA.2.3	Homo sapiens	ON373271	25	21L (Omicron)	0.04	Howard et al AT		CDC-OAMD	Laboratory Corporation of America	6.36
USA/MP-CDC-2-5903899/2022	4/4/22		1.37	202214	One week ago	BA.2.3	USA	North America	Northern Mariana Islands	BA.2.3	Homo sapiens	ON402697	25	21L (Omicron)	0.01	Sheth et al J		CDC DVD Genomics and DIscovery Team	Commonwealth Healthcare Center	6.36
USA/DC-CDC-STM-298H995QE/2022	4/9/22		1.35	202214	One month ago	BA.2	USA	North America	Washington DC		Homo sapiens	ON345577	25	21L (Omicron)	0.02	Howard et al AU		CDC-OAMD	'Helix'	6.36
USA/WA-CDC-UW22040314148/2022	4/3/22		1.35	202214	One month ago	BA.2	USA	North America	Washington		Homo sapiens	ON305124	25	21L (Omicron)	0.01	Howard et al AV		CDC-OAMD	UW Virology Lab	6.36
USA/OH-CDC-ASC210738945/2022	3/27/22		1.38	202213	One month ago	BA.2	USA	North America	Ohio		Homo sapiens	ON235121	26	21L (Omicron)	0	Howard et al AW		CDC-OAMD	Aegis Sciences Corporation	6.36
USA/CO-CDC-MMB14933855/2022	4/5/22		1.36	202214	One month ago	BA.2	USA	North America	Colorado		Homo sapiens	ON346215	26	21L (Omicron)	0.01	Howard et al AX		CDC-OAMD	Mako Medical	6.36
USA/OH-CDC-QDX34993022/2022	3/13/22		1.35	202211	Older	BA.2.9	USA	North America	Ohio		Homo sapiens	ON117903	25	21L (Omicron)	0	Howard et al AY		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/TN-CDC-QDX35775977/2022	4/6/22		1.35	202214	One month ago	BA.2.9	USA	North America	Tennessee		Homo sapiens	ON334951	25	21L (Omicron)	0.01	Howard et al AZ		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/HI-CDC-QDX35868921/2022	4/9/22		1.39	202214	One month ago	BA.2	USA	North America	Hawaii		Homo sapiens	ON335989	25	21L (Omicron)	0.02	Howard et al BA		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/VI-CDC-2-5903795/2022	4/12/22		1.35	202215	One week ago	BA.2	USA	North America	Virgin Islands		Homo sapiens	ON402750	25	21L (Omicron)	0.03	Sheth et al K		CDC DVD Genomics and DIscovery Team	VI-US Virgin Islands Department of Health	6.36
USA/VA-CDC-QDX36261382/2022	4/23/22		1.37	202216	1-2 days ago	BA.2.12	USA	North America	Virginia		Homo sapiens	ON453016	26	21L (Omicron)	0.08	Howard et al BB				6.36
USA/DC-CDC-LC0571453/2022	3/30/22		1.37	202213	One month ago	BA.2.12.1	USA	North America	Washington DC	BA.2.12.1	Homo sapiens	ON247871	26	22C (Omicron)	0	Howard et al BC		CDC-OAMD	Laboratory Corporation of America	6.36
USA/WV-CDC-LC0590815/2022	4/22/22		1.37	202216	3-7 days ago	BA.2.12.1	USA	North America	West Virginia	BA.2.12.1	Homo sapiens	ON414847	26	22C (Omicron)	0.07	Howard et al BD		CDC-OAMD	Laboratory Corporation of America	6.36
USA/MD-CDC-LC0571523/2022	3/30/22		1.35	202213	One month ago	BA.2.12	USA	North America	Maryland		Homo sapiens	ON247888	25	21L (Omicron)	0	Howard et al BE		CDC-OAMD	Laboratory Corporation of America	6.36
USA/CO-CDC-MMB15028256/2022	4/17/22		1.35	202216	One week ago	BA.2	USA	North America	Colorado		Homo sapiens	ON389603	25	21L (Omicron)	0.05	Howard et al BF		CDC-OAMD	Mako Medical	6.36
USA/FL-CDC-LC0571083/2022	3/24/22		1.35	202212	One month ago	BA.2	USA	North America	Florida		Homo sapiens	ON247454	25	21L (Omicron)	0	Howard et al BG		CDC-OAMD	Laboratory Corporation of America	6.36
USA/SD-CDC-ASC210723535/2022	4/5/22		1.34	202214	One month ago	BA.2	USA	North America	South Dakota		Homo sapiens	ON252974	25	21L (Omicron)	0.01	Howard et al BH		CDC-OAMD	Aegis Sciences Corporation	6.36
USA/MS-MSPHL-0770/2022	3/29/22		1.35	202213	Older	BA.2	USA	North America	Mississippi		Homo sapiens	ON117782	25	21L (Omicron)	0	Karolewicz et al A		Mississippi Public Health Lab	MS PHL	6.36
USA/MN-MDH-23535/2022	4/1/22		1.35	202213	One month ago	BA.2	USA	North America	Minnesota		Homo sapiens	ON254387	25	21L (Omicron)	0.01	Garfin et al				6.36
USA/OSPHL05447/2022	4/4/22		1.35	202214	One month ago	BA.2	USA	North America	Oregon		Homo sapiens	ON256200	25	21L (Omicron)	0.01	Razzaque et al A				6.36
USA/VT-Broad-CRSP_QNVU6RCWCKAGNRYT/2022	4/14/22		1.34	202215	3-7 days ago	BA.2	USA	North America	Vermont		Homo sapiens	ON403236	25	21L (Omicron)	0.04	Lemieux et al C		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	6.36
USA/ND-CDC-MMB14595620/2022	3/1/22		1.39	202209	Older	BA.2.10	USA	North America	North Dakota		Homo sapiens	ON032103	25	21L (Omicron)	0	Howard et al BI		CDC-OAMD	Mako Medical	6.36
USA/OK-CDC-QDX35823842/2022	4/10/22		1.34	202215	One month ago	BA.2.10	USA	North America	Oklahoma		Homo sapiens	ON336146	25	21L (Omicron)	0.02	Howard et al BJ		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/WI-CDC-QDX34496898/2022	3/2/22		1.34	202209	Older	BA.2.10	USA	North America	Wisconsin		Homo sapiens	ON034258	25	21L (Omicron)	0	Howard et al BK		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/WI-CDC-ASC210845892/2022	3/19/22		1.34	202211	Older	BA.2.10	USA	North America	Wisconsin		Homo sapiens	ON144848	25	21L (Omicron)	0	Howard et al BL		CDC-OAMD	Aegis Sciences Corporation	6.36
USA/PA-CDC-QDX35281550/2022	3/27/22		1.38	202213	One month ago	BA.2	USA	North America	Pennsylvania		Homo sapiens	ON203765	25	21L (Omicron)	0	Howard et al BM		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/NV-CDC-LC0591789/2022	4/18/22		1.36	202216	3-7 days ago	BA.2	USA	North America	Nevada		Homo sapiens	ON414069	25	21L (Omicron)	0.05	Howard et al BN		CDC-OAMD	Laboratory Corporation of America	6.36
